time,sat_id,az,el,pseudorange,carrier_phase,doppler,true_range,sat_x,sat_y,sat_z,sat_vx,sat_vy,sat_vz
2,1,128.21907417904083,21.99778704701237,1207346.756249409,1207346.7278526677,256.21852308760805,1207338.2465982693,1126644.4784971178,6644425.404890551,1577782.1791926166,-4369.287587167542,-636.9656675107551,5811.757810977009
2,23,113.35717356086194,12.453943073137328,1644227.1239744804,1644226.7995170683,-432.65211420514294,1644213.8409482013,525965.8241914419,6713742.394662507,1598826.3411647512,-4299.744506645897,-1043.297153590033,5804.840036793379
2,802,-149.15832440163223,10.684988404026551,1785958.3242573517,1785958.5937824973,-1353.003437860044,1785940.3777539223,2871645.8362129047,6265538.615543708,768681.9783143132,-3435.5252311735617,2310.964191869552,-5993.051690161953
2,823,-88.18083842818548,15.604950332615843,1501398.092650139,1501398.6243570296,1661.312082428402,1501383.7459501117,3263898.3900592066,5685647.495073618,2259895.474638692,-2819.362709177263,3818.028752840992,-5524.392319213118
2,824,-169.57713424961602,13.473451988676665,1615881.2648581835,1615881.4598715112,-2143.164961826848,1615866.7861444305,2299829.3898167755,6499775.3593454575,746962.6121548035,-3633.2701159066683,1975.730401431479,-5996.332695968181
2,845,-90.61072901045382,30.095490405995115,1001168.0711083577,1001167.7038260369,1462.1539012448854,1001158.7942422437,2743013.576389709,5962029.453149532,2239862.462389741,-3152.287615437639,3532.955223331182,-5534.136215317487
2,846,167.9657782306402,12.993559292654384,1643316.3715355494,1643317.0367603058,-2755.0332272379655,1643302.8746361383,1709123.1648156443,6681858.722270479,725231.5278924248,-3798.5957809018078,1623.7948837140013,-5999.5196270017295
2,867,-99.62094719738249,62.81616831957104,618948.4255750476,618949.0401403067,614.8677799803958,618943.9540647267,2198856.4911082746,6190686.502061414,2219794.3038650462,-3456.8412572905863,3219.044919652773,-5543.79322458047
2,888,-33.999152036388764,11.19723224851164,1749152.551571112,1749152.756017494,2996.5205320028126,1749135.0113575931,2649257.4472421505,5340721.767216132,3539917.643173334,-3132.765237864648,4643.830295742755,-4652.179914450054
2,889,102.29188899768712,59.81512801996693,635121.6043747594,635122.059337047,-1174.9221320248369,635117.735262572,1635799.5266230155,6369672.369250805,2199691.314126018,-3730.543722951836,2879.0858629031004,-5553.3631968261325
2,910,-17.069722635814994,15.558942495909994,1501583.7420077275,1501583.926739066,2713.73269358268,1501570.520005997,2159488.4746804126,5567582.067563955,3523034.689218176,-3533.744986464438,4330.100061751993,-4667.481106144811
2,911,94.52624934237251,28.8011203443303,1031938.7727545192,1031938.7979517913,-1847.8002788392791,1031932.212808254,1058376.3220743374,6497441.30444894,2179553.808776522,-3971.1863076905424,2516.0775759115113,-5562.845982949496
2,932,4.855969046943126,17.111983065531987,1427056.6605981372,1427057.245434913,1992.1396629926423,1427045.5321253617,1650419.8828814963,5749502.4022922935,3506096.430637476,-3903.757159767597,3981.9294308741078,-4682.708909903174
2,933,92.21730788334193,14.89826944079554,1537582.451855924,1537582.8022690848,-2010.4779488929944,1537571.7601486333,471245.54553571256,6572861.219896815,2159382.103957121,-4176.849211239656,2133.20520965215,-5572.241435492218
2,954,25.90890295153526,14.580885188463078,1552054.9464791745,1552055.2070210925,1002.3592444225957,1552042.734778105,1126176.2847551927,5884853.681001139,3489103.1337438505,-4239.860956280761,3602.339680029297,-4697.863088136439
2,1453,-61.479798591341314,13.655367973792716,1577115.3303409866,1577115.5652415063,768.5235303496305,1577099.4733455137,3094739.958816176,5472018.081185522,2897747.283319857,-5149.732346786949,182.36829471450721,5164.89737436091
2,1475,-47.52059265101045,23.378417910672137,1162680.0627509311,1162680.0490700873,-44.88613290458156,1162669.5821863704,2585914.8317311904,5720574.607988611,2916437.4369950383,-5157.358868758667,-290.54925115976266,5152.240149864667
2,1496,-115.7651101604515,10.997008496036635,1733995.2840244255,1733995.103532399,2721.456961534755,1733976.3076950188,3402885.85853914,5839258.059474959,1493359.8881051315,-4265.71880745335,995.1150757338764,5838.5110063843
2,1497,-17.050044865319105,33.473910528087295,910731.6680128396,910731.6681908291,-1406.1409796949708,910724.2982863408,2057436.151002787,5921992.11571806,2935081.58523932,-5121.5764053596395,-763.2187052796824,5139.501733731373
2,1518,-128.8770866560183,20.021080215849036,1279666.0257257232,1279665.763637253,2804.8598178637244,1279653.8726076847,2863712.0802767263,6116553.932599593,1514501.6418181034,-4348.505960756068,594.2127831252084,5831.960607180108
2,1519,24.55157774666758,31.032315935367873,960315.5932409721,960315.5136990083,-2564.6175510613825,960308.5430033156,1513657.1773726835,6074747.767307682,2953679.4342416786,-5042.504070239892,-1231.6577430309412,5126.68232833815
2,1540,-156.14946511782364,31.025430120053088,959164.9263748362,959165.1262810916,2577.6828353965734,959157.1718755458,2302195.2630660213,6344183.856347102,1535619.4969438624,-4393.713623452353,186.64266803950653,5825.318204153451
2,1541,48.89589273857814,20.168472628188027,1275623.9554469802,1275623.9068222875,-2813.3873940770814,1275614.774034497,959044.3615993136,6177719.906180348,2972230.6909274273,-4920.62566411618,-1691.9058637683527,5113.782137630643
2,1562,159.51440203924201,32.60440724075429,926465.4752785885,926465.7705732108,1487.466004208271,926458.9811052007,1722900.7591082824,6520372.897255659,1556713.1203257432,-4400.827132180465,-224.0815511391524,5818.583903049048
2,1563,59.91287143654658,11.347961223771916,1713637.2845752027,1713636.818970034,-2712.920127574881,1713622.7713115702,398143.3798433429,6230195.457106252,2990735.0629620063,-4756.787271404559,-2140.0553891743766,5100.80136654622
3,1,127.84680812231916,22.013502943968867,1206806.6819510185,1206806.4970163654,237.87756139089274,1206798.0312555893,1122274.4675996518,6643784.77844304,1583592.9839328441,-4370.728119442678,-644.2879725431839,5809.850502026074
3,23,113.0995817568179,12.437807308883704,1645187.3650556398,1645187.2273198576,-445.7752314505872,1645174.2627323316,521665.6865108897,6712695.390010915,1604630.215448481,-4300.524726683234,-1050.7123418959986,5802.907364652501
3,802,-149.37039197519252,10.639960913318298,1788928.2585148576,1788928.0026081312,-1362.8677920786752,1788909.7428997725,2868208.766961034,6267846.098943747,762688.4666484566,-3438.6076732994097,2303.9998943943347,-5993.970443072411
3,823,-88.41995055700191,15.677599159576767,1497777.6573452768,1497777.4761899062,1650.644852352541,1497762.6507724829,3261077.3605096973,5689462.344784188,2254369.7281442247,-2822.6913695013236,3811.6673414121788,-5527.099566111465
3,824,-169.76105521947954,13.390440192334575,1620575.6663114037,1620575.84092903,-2150.399457562527,1620561.1019405285,2296194.8917734586,6501747.4836578835,740965.8325130689,-3635.7201482339087,1968.5160250297652,-5997.225388357568
3,845,-91.01431236321932,30.234603053233954,997989.8215916092,997989.6596459725,1444.5262684833065,997980.7860513527,2739859.9112190735,5965559.088850149,2234326.98400437,-3155.0374218285397,3526.3133163717935,-5536.819449844667
3,846,167.86577258138936,12.889829819241498,1649344.9285653406,1649344.8754466202,-2758.144224644175,1649330.6318333824,1705323.6672528672,6683478.814464199,719231.5743567129,-3800.3933463185085,1616.3878389098024,-6000.386244633568
3,867,-100.96100132998495,63.079713005105,617642.8707708927,617642.5630500658,580.0196019296526,617637.5003934226,2195398.573354932,6193902.113318543,2214249.1804969315,-3458.9887048162427,3212.1752224794213,-5546.4524041178165
3,888,-33.98190987267836,11.300171819690162,1742601.5978348083,1742601.4539336339,2995.407893636533,1742583.82202351,2646123.4425527714,5345362.648268273,3535263.3425940503,-3135.2393272152185,4637.92879629138,-4656.420316128778
3,889,103.12367276283861,59.37033961188638,637724.2056873003,637724.226529692,-1205.0268125593068,637719.8854167532,1632068.2168840843,6372547.9346201755,2194136.6328332894,-3732.070107590853,2872.0430369553815,-5555.99827916549
3,910,-16.956134928140184,15.677841896727964,1495653.9207892085,1495653.8775118403,2710.0027959238664,1495640.5508139897,2155953.7588039385,5571909.112435822,3518365.0975489104,-3535.6817752424845,4323.987147896876,-4671.701301327539
3,911,94.85931707422198,28.636632980293776,1035994.6419145653,1035994.7269287403,-1861.8263405531213,1035988.110011366,1054404.6869849304,6499953.802813861,2173989.656766257,-3972.0778878444853,2508.9178012719653,-5565.456926198405
3,932,5.080823415095669,17.207027364789237,1422711.0823530809,1422710.986668863,1983.0229523350965,1422699.3322354574,1646515.432303696,5753481.19509737,3501411.6212994508,-3905.1387063603825,3975.654082624305,-4686.908832031905
3,933,92.42285302044327,14.813967026667434,1541988.2293770963,1541988.1819358657,-2018.7661811389607,1541977.0894264036,467068.5693186589,6574990.815765718,2153808.5685836487,-4177.097329189637,2125.98573468704,-5574.8281981702385
